participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,response,acc,rt
2,1,1,A,memory-resp,#FFFFFF,#aa7a4b,image26,image254,NA,NULL,FALSE,NA
2,1,1,A,memory-resp,#3079a6,#FFFFFF,image232,image26,NA,NULL,FALSE,NA
2,1,1,A,memory-resp,#FFFFFF,#4b9140,image26,image215,NA,NULL,FALSE,NA
2,1,1,A,memory-resp,#FFFFFF,#af0e94,image26,image331,NA,NULL,FALSE,NA
2,1,1,A,retrieval,NA,NA,NA,NA,image232,image232,TRUE,1758.6000000000931
2,1,1,A,retrieval,NA,NA,NA,NA,image331,image331,TRUE,3267.6999999997206
2,1,1,A,retrieval,NA,NA,NA,NA,image254,image254,TRUE,4428.800000000279
2,1,1,A,retrieval,NA,NA,NA,NA,image215,image215,TRUE,1373.2000000001863
2,1,2,A,memory-resp,#23802c,#FFFFFF,image320,image26,NA,left,TRUE,1062.5
2,1,2,A,memory-resp,#673b6d,#FFFFFF,image222,image26,NA,left,TRUE,1711.6000000000931
2,1,2,A,memory-resp,#FFFFFF,#256483,image26,image95,NA,right,FALSE,969.2000000001863
2,1,2,A,memory-resp,#FFFFFF,#bc4710,image26,image7,NA,right,FALSE,1152.0999999996275
2,1,2,A,retrieval,NA,NA,NA,NA,image320,image320,TRUE,2131
2,1,2,A,retrieval,NA,NA,NA,NA,image222,image222,TRUE,2550.7000000001863
2,1,2,A,retrieval,NA,NA,NA,NA,image7,image7,TRUE,2309.399999999907
2,1,2,A,retrieval,NA,NA,NA,NA,image95,image95,TRUE,2813.8000000002794
2,1,3,A,memory-resp,#FFFFFF,#42804e,image26,image257,NA,right,TRUE,1018
2,1,3,A,memory-resp,#092595,#FFFFFF,image39,image26,NA,left,FALSE,860.1000000000931
2,1,3,A,memory-resp,#FFFFFF,#b91382,image26,image71,NA,right,FALSE,985.1999999997206
2,1,3,A,memory-resp,#cd9723,#FFFFFF,image198,image26,NA,left,FALSE,916
2,1,3,A,retrieval,NA,NA,NA,NA,image71,image71,TRUE,2846.600000000093
2,1,3,A,retrieval,NA,NA,NA,NA,image39,image39,TRUE,2785.399999999907
2,1,3,A,retrieval,NA,NA,NA,NA,image198,image198,TRUE,2390
2,1,3,A,retrieval,NA,NA,NA,NA,image257,image257,TRUE,815.5
2,1,4,A,memory-resp,#52924f,#FFFFFF,image392,image26,NA,left,TRUE,1086.7000000001863
2,1,4,A,memory-resp,#b36a42,#FFFFFF,image247,image26,NA,left,TRUE,1067.8999999999069
2,1,4,A,memory-resp,#FFFFFF,#2089cf,image26,image1,NA,right,FALSE,1032
2,1,4,A,memory-resp,#70348d,#FFFFFF,image105,image26,NA,left,FALSE,926.5
2,1,4,A,retrieval,NA,NA,NA,NA,image1,image1,TRUE,6820.5
2,1,4,A,retrieval,NA,NA,NA,NA,image392,image392,TRUE,1540.6000000000931
2,1,4,A,retrieval,NA,NA,NA,NA,image247,image247,TRUE,2226.2000000001863
2,1,4,A,retrieval,NA,NA,NA,NA,image105,image105,TRUE,1401.5
2,1,5,A,memory-resp,#FFFFFF,#17aac4,image26,image313,NA,right,FALSE,1019.3999999999069
2,1,5,A,memory-resp,#FFFFFF,#bc2438,image26,image412,NA,right,FALSE,1307.2000000001863
2,1,5,A,memory-resp,#4b2a79,#FFFFFF,image241,image26,NA,left,TRUE,968.8000000002794
2,1,5,A,memory-resp,#FFFFFF,#63c035,image26,image60,NA,right,TRUE,1157.1000000000931
2,1,5,A,retrieval,NA,NA,NA,NA,image412,image412,TRUE,1965.2000000001863
2,1,5,A,retrieval,NA,NA,NA,NA,image313,image313,TRUE,1229
2,1,5,A,retrieval,NA,NA,NA,NA,image241,image241,TRUE,3132.7999999998137
2,1,5,A,retrieval,NA,NA,NA,NA,image60,image60,TRUE,666.7000000001863
2,1,6,A,memory-resp,#FFFFFF,#a8ce1c,image26,image4,NA,right,FALSE,911.5
2,1,6,A,memory-resp,#FFFFFF,#10b28c,image26,image89,NA,right,FALSE,602.1000000000931
2,1,6,A,memory-resp,#FFFFFF,#992445,image26,image251,NA,right,FALSE,775.8000000002794
2,1,6,A,memory-resp,#FFFFFF,#6654a6,image26,image347,NA,right,TRUE,753.1000000000931
2,1,6,A,retrieval,NA,NA,NA,NA,image251,image251,TRUE,1407.2000000001863
2,1,6,A,retrieval,NA,NA,NA,NA,image4,image89,FALSE,1860.7999999998137
2,1,6,A,retrieval,NA,NA,NA,NA,image89,image4,FALSE,1677.3999999999069
2,1,6,A,retrieval,NA,NA,NA,NA,image347,image347,TRUE,1077.4000000003725
2,1,7,A,memory-resp,#FFFFFF,#1a9940,image26,image207,NA,right,FALSE,848.8999999999069
2,1,7,A,memory-resp,#263eb5,#FFFFFF,image16,image26,NA,left,TRUE,888.7999999998137
2,1,7,A,memory-resp,#e79613,#FFFFFF,image216,image26,NA,left,TRUE,724.2999999998137
2,1,7,A,memory-resp,#6d2c5b,#FFFFFF,image213,image26,NA,left,FALSE,1069.6999999997206
2,1,7,A,retrieval,NA,NA,NA,NA,image207,image207,TRUE,1487.3000000002794
2,1,7,A,retrieval,NA,NA,NA,NA,image16,image16,TRUE,3489.2999999998137
2,1,7,A,retrieval,NA,NA,NA,NA,image213,image213,TRUE,4192.5
2,1,7,A,retrieval,NA,NA,NA,NA,image216,image216,TRUE,602.1000000000931
2,1,8,A,memory-resp,#961d84,#FFFFFF,image286,image26,NA,left,TRUE,842.5
2,1,8,A,memory-resp,#FFFFFF,#985c3e,image26,image40,NA,right,TRUE,727
2,1,8,A,memory-resp,#325d76,#FFFFFF,image110,image26,NA,left,FALSE,758.2000000001863
2,1,8,A,memory-resp,#3ec922,#FFFFFF,image364,image26,NA,left,FALSE,684.3999999999069
2,1,8,A,retrieval,NA,NA,NA,NA,image286,image286,TRUE,1743.1000000000931
2,1,8,A,retrieval,NA,NA,NA,NA,image40,image40,TRUE,1388.5
2,1,8,A,retrieval,NA,NA,NA,NA,image110,image110,TRUE,2645.100000000093
2,1,8,A,retrieval,NA,NA,NA,NA,image364,image364,TRUE,594.8000000002794
2,1,9,A,memory-resp,#48229b,#FFFFFF,image50,image26,NA,left,FALSE,870.7000000001863
2,1,9,A,memory-resp,#FFFFFF,#d71441,image26,image68,NA,right,TRUE,831.6000000000931
2,1,9,A,memory-resp,#FFFFFF,#a6ae32,image26,image163,NA,right,FALSE,1087.7000000001863
2,1,9,A,memory-resp,#26c993,#FFFFFF,image193,image26,NA,left,TRUE,1295
2,1,9,A,retrieval,NA,NA,NA,NA,image163,image163,TRUE,2538.7000000001863
2,1,9,A,retrieval,NA,NA,NA,NA,image68,image68,TRUE,2206.100000000093
2,1,9,A,retrieval,NA,NA,NA,NA,image50,image50,TRUE,832.6000000000931
2,1,9,A,retrieval,NA,NA,NA,NA,image193,image193,TRUE,813.5
2,1,10,A,memory-resp,#FFFFFF,#871c7e,image26,image425,NA,right,TRUE,1416.7999999998137
2,1,10,A,memory-resp,#FFFFFF,#ab942b,image26,image120,NA,right,TRUE,1064.7999999998137
2,1,10,A,memory-resp,#2a3974,#FFFFFF,image365,image26,NA,left,FALSE,967.3999999999069
2,1,10,A,memory-resp,#1c8228,#FFFFFF,image200,image26,NA,left,FALSE,914.7999999998137
2,1,10,A,retrieval,NA,NA,NA,NA,image200,image200,TRUE,3806.2000000001863
2,1,10,A,retrieval,NA,NA,NA,NA,image120,image120,TRUE,2124.2000000001863
2,1,10,A,retrieval,NA,NA,NA,NA,image425,image425,TRUE,945.8999999999069
2,1,10,A,retrieval,NA,NA,NA,NA,image365,image365,TRUE,2195.899999999907
