participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
3,1,P1,B,processing,#418173,#FFFFFF,image171,image26,NA,right,right,TRUE,1762.1000000000931,NA,NA
3,1,P1,B,processing,#9b2412,#FFFFFF,image287,image26,NA,right,right,TRUE,659,NA,NA
3,1,P1,B,processing,#4d18af,#FFFFFF,image107,image26,NA,right,right,TRUE,606,NA,NA
3,1,P1,B,processing,#FFFFFF,#5d911d,image26,image198,NA,left,left,TRUE,715.1999999997206,NA,NA
3,1,P2,B,processing,#945814,#FFFFFF,image70,image26,NA,right,right,TRUE,1139.3999999999069,NA,NA
3,1,P2,B,processing,#8d3790,#FFFFFF,image220,image26,NA,right,right,TRUE,601.5,NA,NA
3,1,P2,B,processing,#FFFFFF,#3c5180,image26,image128,NA,left,left,TRUE,544.2999999998137,NA,NA
3,1,P2,B,processing,#FFFFFF,#17b52a,image26,image47,NA,left,left,TRUE,531.3999999999069,NA,NA
3,1,P3,B,processing,#FFFFFF,#328572,image26,image351,NA,left,left,TRUE,619.6000000000931,NA,NA
3,1,P3,B,processing,#FFFFFF,#5a3678,image26,image254,NA,left,left,TRUE,415.29999999981374,NA,NA
3,1,P3,B,processing,#FFFFFF,#6ccf2a,image26,image163,NA,left,left,TRUE,758.8999999999069,NA,NA
3,1,P3,B,processing,#FFFFFF,#9f2214,image26,image370,NA,left,left,TRUE,713,NA,NA
3,1,P4,B,processing,#FFFFFF,#4f2574,image26,image182,NA,left,left,TRUE,721.6000000000931,NA,NA
3,1,P4,B,processing,#278678,#FFFFFF,image273,image26,NA,right,right,TRUE,864.6000000000931,NA,NA
3,1,P4,B,processing,#FFFFFF,#81c20f,image26,image420,NA,left,left,TRUE,1339.6999999997206,NA,NA
3,1,P4,B,processing,#FFFFFF,#9e3f3d,image26,image194,NA,left,left,TRUE,630.7000000001863,NA,NA
3,1,P5,B,processing,#FFFFFF,#23af7b,image26,image326,NA,left,left,TRUE,817.3999999999069,NA,NA
3,1,P5,B,processing,#FFFFFF,#292475,image26,image200,NA,left,left,TRUE,514.1000000000931,NA,NA
3,1,P5,B,processing,#FFFFFF,#95ab49,image26,image222,NA,left,left,TRUE,740.1000000000931,NA,NA
3,1,P5,B,processing,#ca2172,#FFFFFF,image391,image26,NA,right,right,TRUE,1021.3999999999069,NA,NA
3,1,P6,B,processing,#FFFFFF,#633eac,image26,image130,NA,left,left,TRUE,957.2999999998137,NA,NA
3,1,P6,B,processing,#368783,#FFFFFF,image346,image26,NA,right,right,TRUE,727.6000000000931,NA,NA
3,1,P6,B,processing,#8f0a36,#FFFFFF,image371,image26,NA,right,right,TRUE,762.1999999997206,NA,NA
3,1,P6,B,processing,#FFFFFF,#b2d41c,image26,image77,NA,left,left,TRUE,644.8999999999069,NA,NA
3,1,P7,B,processing,#637920,#FFFFFF,image72,image26,NA,right,right,TRUE,836,NA,NA
3,1,P7,B,processing,#FFFFFF,#e31662,image26,image378,NA,left,left,TRUE,848.2999999998137,NA,NA
3,1,P7,B,processing,#FFFFFF,#4111b0,image26,image421,NA,left,left,TRUE,800.5,NA,NA
3,1,P7,B,processing,#FFFFFF,#42ae95,image26,image381,NA,left,left,TRUE,772.8999999999069,NA,NA
3,1,P8,B,processing,#FFFFFF,#3498c5,image26,image173,NA,left,left,TRUE,1035.3999999999069,NA,NA
3,1,P8,B,processing,#456534,#FFFFFF,image32,image26,NA,right,right,TRUE,817.6000000000931,NA,NA
3,1,P8,B,processing,#a75749,#FFFFFF,image113,image26,NA,right,right,TRUE,829.2999999998137,NA,NA
3,1,P8,B,processing,#a722bf,#FFFFFF,image174,image26,NA,right,right,TRUE,1020.8000000002794,NA,NA
3,1,P9,B,processing,#71ab44,#FFFFFF,image39,image26,NA,right,right,TRUE,989.1000000000931,NA,NA
3,1,P9,B,processing,#FFFFFF,#c92f18,image26,image172,NA,left,left,TRUE,780.8000000002794,NA,NA
3,1,P9,B,processing,#FFFFFF,#8a52a7,image26,image189,NA,left,left,TRUE,806.8999999999069,NA,NA
3,1,P9,B,processing,#4a7f8c,#FFFFFF,image419,image26,NA,right,right,TRUE,778.7000000001863,NA,NA
3,1,P10,B,processing,#FFFFFF,#328519,image26,image232,NA,left,left,TRUE,888.1999999997206,NA,NA
3,1,P10,B,processing,#be812d,#FFFFFF,image235,image26,NA,right,right,TRUE,784.3000000002794,NA,NA
3,1,P10,B,processing,#FFFFFF,#8d1181,image26,image263,NA,left,left,TRUE,707.6000000000931,NA,NA
3,1,P10,B,processing,#FFFFFF,#3a63a1,image26,image76,NA,left,left,TRUE,846.2000000001863,NA,NA
3,1,P11,B,processing,#FFFFFF,#1153b6,image26,image286,NA,left,left,TRUE,825.1000000000931,NA,NA
3,1,P11,B,processing,#926320,#FFFFFF,image215,image26,NA,right,right,TRUE,855.0999999996275,NA,NA
3,1,P11,B,processing,#FFFFFF,#bf1fdb,image26,image91,NA,left,left,TRUE,1007.5,NA,NA
3,1,P11,B,processing,#FFFFFF,#379d2a,image26,image44,NA,left,left,TRUE,785.8999999999069,NA,NA
3,1,P12,B,processing,#FFFFFF,#815a3b,image26,image321,NA,left,left,TRUE,846.2999999998137,NA,NA
3,1,P12,B,processing,#FFFFFF,#a43fab,image26,image392,NA,left,left,TRUE,771.3999999999069,NA,NA
3,1,P12,B,processing,#FFFFFF,#0e901b,image26,image20,NA,left,left,TRUE,652.0999999996275,NA,NA
3,1,P12,B,processing,#FFFFFF,#3b86b5,image26,image384,NA,left,left,TRUE,771.2999999998137,NA,NA
3,1,P13,B,processing,#b87023,#FFFFFF,image295,image26,NA,right,right,TRUE,802.8999999999069,NA,NA
3,1,P13,B,processing,#6b2484,#FFFFFF,image405,image26,NA,right,right,TRUE,1629.1000000000931,NA,NA
3,1,P13,B,processing,#FFFFFF,#4d93ac,image26,image62,NA,left,left,TRUE,848.1000000000931,NA,NA
3,1,P13,B,processing,#4cd515,#FFFFFF,image28,image26,NA,right,right,TRUE,900.1999999997206,NA,NA
3,1,P14,B,processing,#FFFFFF,#3a8592,image26,image399,NA,left,left,TRUE,949.1000000000931,NA,NA
3,1,P14,B,processing,#7d392c,#FFFFFF,image31,image26,NA,right,right,TRUE,974.8000000002794,NA,NA
3,1,P14,B,processing,#FFFFFF,#558141,image26,image407,NA,left,left,TRUE,987.8999999999069,NA,NA
3,1,P14,B,processing,#8b41b9,#FFFFFF,image111,image26,NA,right,right,TRUE,894.8000000002794,NA,NA
3,1,P15,B,processing,#0dbaa9,#FFFFFF,image404,image26,NA,right,right,TRUE,1441.8000000002794,NA,NA
3,1,P15,B,processing,#FFFFFF,#779e51,image26,image7,NA,left,left,TRUE,979.1000000000931,NA,NA
3,1,P15,B,processing,#c03e30,#FFFFFF,image23,image26,NA,right,right,TRUE,991.5,NA,NA
3,1,P15,B,processing,#FFFFFF,#590cc6,image26,image301,NA,left,left,TRUE,910,NA,NA
3,1,P16,B,processing,#FFFFFF,#328a19,image26,image172,NA,left,left,TRUE,1065.1000000000931,NA,NA
3,1,P16,B,processing,#923a17,#FFFFFF,image300,image26,NA,right,right,TRUE,1061.6000000000931,NA,NA
3,1,P16,B,processing,#75338a,#FFFFFF,image105,image26,NA,right,right,TRUE,892.8000000002794,NA,NA
3,1,P16,B,processing,#FFFFFF,#10a0d1,image26,image205,NA,left,left,TRUE,771.6000000000931,NA,NA
