participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
12,1,1,A,memory-resp,#FFFFFF,#7d3f26,image26,image293,NA,right,NULL,FALSE,NA,image293,image293
12,1,1,A,memory-resp,#206c88,#FFFFFF,image23,image26,NA,right,NULL,FALSE,NA,image23,image26
12,1,1,A,memory-resp,#662b6e,#FFFFFF,image43,image26,NA,right,NULL,FALSE,NA,image43,image26
12,1,1,A,memory-resp,#FFFFFF,#17ba22,image26,image93,NA,left,NULL,FALSE,NA,image93,image26
12,1,1,A,retrieval,NA,NA,NA,NA,image43,NA,image43,TRUE,4364,image43,image293
12,1,1,A,retrieval,NA,NA,NA,NA,image23,NA,image293,FALSE,3789.0999999940395,image23,image293
12,1,1,A,retrieval,NA,NA,NA,NA,image93,NA,image43,FALSE,2762.9000000059605,image93,image293
12,1,1,A,retrieval,NA,NA,NA,NA,image293,NA,image93,FALSE,3007.8999999910593,image293,image293
12,1,2,A,memory-resp,#125eab,#FFFFFF,image382,image26,NA,right,NULL,FALSE,NA,image382,image26
12,1,2,A,memory-resp,#ba21a8,#FFFFFF,image292,image26,NA,right,NULL,FALSE,NA,image292,image26
12,1,2,A,memory-resp,#2e6b2f,#FFFFFF,image197,image26,NA,left,NULL,FALSE,NA,image197,image197
12,1,2,A,memory-resp,#FFFFFF,#a47028,image26,image117,NA,left,NULL,FALSE,NA,image117,image26
12,1,2,A,retrieval,NA,NA,NA,NA,image292,NA,image292,TRUE,4960.9000000059605,image292,image26
12,1,2,A,retrieval,NA,NA,NA,NA,image382,NA,image117,FALSE,6605,image382,image26
12,1,2,A,retrieval,NA,NA,NA,NA,image117,NA,image392,FALSE,5077.5,image117,image26
12,1,2,A,retrieval,NA,NA,NA,NA,image197,NA,image197,TRUE,1164.7000000029802,image197,image26
12,1,3,A,memory-resp,#FFFFFF,#1034d5,image26,image228,NA,right,NULL,FALSE,NA,image228,image228
12,1,3,A,memory-resp,#FFFFFF,#ad345e,image26,image14,NA,left,NULL,FALSE,NA,image14,image26
12,1,3,A,memory-resp,#b1a43e,#FFFFFF,image141,image26,NA,right,NULL,FALSE,NA,image141,image26
12,1,3,A,memory-resp,#FFFFFF,#38855e,image26,image129,NA,left,NULL,FALSE,NA,image129,image26
12,1,3,A,retrieval,NA,NA,NA,NA,image14,NA,image14,TRUE,5146.29999999702,image14,image228
12,1,3,A,retrieval,NA,NA,NA,NA,image141,NA,image141,TRUE,1718.5999999940395,image141,image228
12,1,3,A,retrieval,NA,NA,NA,NA,image228,NA,image228,TRUE,3498.2999999970198,image228,image228
12,1,3,A,retrieval,NA,NA,NA,NA,image129,NA,image129,TRUE,1095,image129,image228
12,1,4,A,memory-resp,#FFFFFF,#2e7f7d,image26,image330,NA,right,NULL,FALSE,NA,image330,image330
12,1,4,A,memory-resp,#458712,#FFFFFF,image156,image26,NA,right,NULL,FALSE,NA,image156,image26
12,1,4,A,memory-resp,#FFFFFF,#502975,image26,image353,NA,left,NULL,FALSE,NA,image353,image26
12,1,4,A,memory-resp,#FFFFFF,#a3483e,image26,image285,NA,right,NULL,FALSE,NA,image285,image285
12,1,4,A,retrieval,NA,NA,NA,NA,image156,NA,image330,FALSE,7251.100000008941,image156,image330
12,1,4,A,retrieval,NA,NA,NA,NA,image353,NA,image353,TRUE,2912.300000011921,image353,image330
12,1,4,A,retrieval,NA,NA,NA,NA,image330,NA,image156,FALSE,1483,image330,image330
12,1,4,A,retrieval,NA,NA,NA,NA,image285,NA,image285,TRUE,1127.300000011921,image285,image330
12,1,5,A,memory-resp,#ca2bb5,#FFFFFF,image257,image26,NA,left,NULL,FALSE,NA,image257,image257
12,1,5,A,memory-resp,#0a409e,#FFFFFF,image226,image26,NA,left,NULL,FALSE,NA,image226,image226
12,1,5,A,memory-resp,#FFFFFF,#8a5433,image26,image56,NA,right,NULL,FALSE,NA,image56,image56
12,1,5,A,memory-resp,#FFFFFF,#2fd11a,image26,image151,NA,right,NULL,FALSE,NA,image151,image151
12,1,5,A,retrieval,NA,NA,NA,NA,image56,NA,image56,TRUE,2455.6000000089407,image56,image257
12,1,5,A,retrieval,NA,NA,NA,NA,image226,NA,image226,TRUE,1967.2000000029802,image226,image257
12,1,5,A,retrieval,NA,NA,NA,NA,image151,NA,image151,TRUE,5264,image151,image257
12,1,5,A,retrieval,NA,NA,NA,NA,image257,NA,image60,FALSE,1160.2000000029802,image257,image257
12,1,6,A,memory-resp,#4a9ab0,#FFFFFF,image422,image26,NA,left,NULL,FALSE,NA,image422,image422
12,1,6,A,memory-resp,#609d0c,#FFFFFF,image244,image26,NA,right,NULL,FALSE,NA,image244,image26
12,1,6,A,memory-resp,#933a34,#FFFFFF,image370,image26,NA,left,NULL,FALSE,NA,image370,image370
12,1,6,A,memory-resp,#5d2a92,#FFFFFF,image116,image26,NA,right,NULL,FALSE,NA,image116,image26
12,1,6,A,retrieval,NA,NA,NA,NA,image370,NA,image370,TRUE,4082.2000000029802,image370,image422
12,1,6,A,retrieval,NA,NA,NA,NA,image422,NA,image422,TRUE,5156.100000008941,image422,image422
12,1,6,A,retrieval,NA,NA,NA,NA,image116,NA,image116,TRUE,2321.6000000089407,image116,image422
12,1,6,A,retrieval,NA,NA,NA,NA,image244,NA,image244,TRUE,1569.5,image244,image422
12,1,7,A,memory-resp,#0e1da4,#FFFFFF,image188,image26,NA,right,NULL,FALSE,NA,image188,image26
12,1,7,A,memory-resp,#FFFFFF,#aa1888,image26,image65,NA,right,NULL,FALSE,NA,image65,image65
12,1,7,A,memory-resp,#428553,#FFFFFF,image176,image26,NA,left,NULL,FALSE,NA,image176,image176
12,1,7,A,memory-resp,#FFFFFF,#dad71b,image26,image103,NA,right,NULL,FALSE,NA,image103,image103
12,1,7,A,retrieval,NA,NA,NA,NA,image176,NA,image188,FALSE,3434.0999999940395,image176,image26
12,1,7,A,retrieval,NA,NA,NA,NA,image103,NA,image103,TRUE,4565.29999999702,image103,image26
12,1,7,A,retrieval,NA,NA,NA,NA,image65,NA,image65,TRUE,2037.7000000029802,image65,image26
12,1,7,A,retrieval,NA,NA,NA,NA,image188,NA,image176,FALSE,3827.2000000029802,image188,image26
12,1,8,A,memory-resp,#FFFFFF,#13adc9,image26,image340,NA,left,NULL,FALSE,NA,image340,image26
12,1,8,A,memory-resp,#FFFFFF,#91c229,image26,image384,NA,right,NULL,FALSE,NA,image384,image384
12,1,8,A,memory-resp,#FFFFFF,#533286,image26,image59,NA,left,NULL,FALSE,NA,image59,image26
12,1,8,A,memory-resp,#FFFFFF,#7f2f35,image26,image328,NA,right,NULL,FALSE,NA,image328,image328
12,1,8,A,retrieval,NA,NA,NA,NA,image340,NA,image340,TRUE,4648.20000000298,image340,image26
12,1,8,A,retrieval,NA,NA,NA,NA,image59,NA,image59,TRUE,1667.2000000029802,image59,image26
12,1,8,A,retrieval,NA,NA,NA,NA,image384,NA,image384,TRUE,1362.2999999970198,image384,image26
12,1,8,A,retrieval,NA,NA,NA,NA,image328,NA,image328,TRUE,7019,image328,image26
12,1,9,A,memory-resp,#17ba45,#FFFFFF,image362,image26,NA,right,NULL,FALSE,NA,image362,image26
12,1,9,A,memory-resp,#FFFFFF,#a29d57,image26,image301,NA,right,NULL,FALSE,NA,image301,image301
12,1,9,A,memory-resp,#102489,#FFFFFF,image269,image26,NA,left,NULL,FALSE,NA,image269,image269
12,1,9,A,memory-resp,#ab4fa2,#FFFFFF,image40,image26,NA,left,NULL,FALSE,NA,image40,image40
