participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
1,1,P1,B,processing,#FFFFFF,#7bd11a,image405,10,image362,24.2,NA,left,left,TRUE,498,NA,NA
1,1,P1,B,processing,#b34242,#FFFFFF,image77,120,image405,10,NA,right,right,TRUE,565,NA,NA
1,1,P1,B,processing,#7b1ed2,#FFFFFF,image368,18.5,image405,10,NA,right,right,TRUE,549,NA,NA
1,1,P1,B,processing,#FFFFFF,#297a75,image405,10,image260,999,NA,left,left,TRUE,518,NA,NA
1,1,P2,B,processing,#2e7640,#FFFFFF,image163,8,image405,10,NA,right,right,TRUE,618,NA,NA
1,1,P2,B,processing,#87224c,#FFFFFF,image389,4.8,image405,10,NA,right,right,TRUE,550,NA,NA
1,1,P2,B,processing,#485593,#FFFFFF,image141,30,image405,10,NA,right,right,TRUE,547,NA,NA
1,1,P2,B,processing,#FFFFFF,#b0a421,image405,10,image339,20,NA,left,left,TRUE,517,NA,NA
1,1,P3,B,processing,#FFFFFF,#9e424b,image405,10,image104,6,NA,left,left,TRUE,476,NA,NA
1,1,P3,B,processing,#FFFFFF,#3c7d80,image405,10,image217,8.5,NA,left,left,TRUE,496,NA,NA
1,1,P3,B,processing,#53329f,#FFFFFF,image54,7,image405,10,NA,right,right,TRUE,517,NA,NA
1,1,P3,B,processing,#668736,#FFFFFF,image248,300,image405,10,NA,right,right,TRUE,531,NA,NA
1,1,P4,B,processing,#FFFFFF,#0cb4c0,image405,10,image338,12,NA,left,left,TRUE,510,NA,NA
1,1,P4,B,processing,#894f43,#FFFFFF,image158,150,image405,10,NA,right,right,TRUE,505,NA,NA
1,1,P4,B,processing,#FFFFFF,#51c62a,image405,10,image325,12.6,NA,left,left,TRUE,510,NA,NA
1,1,P4,B,processing,#521287,#FFFFFF,image401,12,image405,10,NA,right,right,TRUE,496,NA,NA
1,1,P5,B,processing,#FFFFFF,#7c9235,image405,10,image9,36,NA,left,left,TRUE,561,NA,NA
1,1,P5,B,processing,#370a9e,#FFFFFF,image394,10,image405,10,NA,right,right,TRUE,478,NA,NA
1,1,P5,B,processing,#FFFFFF,#8a4252,image405,10,image375,8,NA,left,left,TRUE,572,NA,NA
1,1,P5,B,processing,#FFFFFF,#3e8e73,image405,10,image257,170,NA,left,left,TRUE,720,NA,NA
1,1,P6,B,processing,#8c10c6,#FFFFFF,image125,5.1,image405,10,NA,right,right,TRUE,548,NA,NA
1,1,P6,B,processing,#FFFFFF,#4f7f96,image405,10,image164,13.5,NA,left,left,TRUE,476,NA,NA
1,1,P6,B,processing,#FFFFFF,#446837,image405,10,image132,15,NA,left,left,TRUE,610,NA,NA
1,1,P6,B,processing,#a55922,#FFFFFF,image218,13.5,image405,10,NA,right,right,TRUE,482,NA,NA
1,1,P7,B,processing,#977917,#FFFFFF,image360,19,image405,10,NA,right,right,TRUE,510,NA,NA
1,1,P7,B,processing,#28713e,#FFFFFF,image57,2.5,image405,10,NA,right,right,TRUE,491,NA,NA
1,1,P7,B,processing,#FFFFFF,#2a25b1,image405,10,image138,2,NA,left,left,TRUE,480,NA,NA
1,1,P7,B,processing,#FFFFFF,#e30d91,image405,10,image232,180,NA,left,left,TRUE,568,NA,NA
1,1,P8,B,processing,#FFFFFF,#49832a,image405,10,image83,140,NA,left,left,TRUE,481,NA,NA
1,1,P8,B,processing,#FFFFFF,#34a5b7,image405,10,image313,10,NA,left,left,TRUE,511,NA,NA
1,1,P8,B,processing,#b74424,#FFFFFF,image428,9,image405,10,NA,right,right,TRUE,481,NA,NA
1,1,P8,B,processing,#552277,#FFFFFF,image357,4.3,image405,10,NA,right,right,TRUE,525,NA,NA
1,1,P9,B,processing,#185ca5,#FFFFFF,image117,10,image405,10,NA,right,right,TRUE,463,NA,NA
1,1,P9,B,processing,#FFFFFF,#9d3caa,image405,10,image148,30,NA,left,left,TRUE,447,NA,NA
1,1,P9,B,processing,#27cc1e,#FFFFFF,image233,6.2,image405,10,NA,right,right,TRUE,471,NA,NA
1,1,P9,B,processing,#FFFFFF,#a2583f,image405,10,image27,6,NA,left,left,TRUE,482,NA,NA
1,1,P10,B,processing,#FFFFFF,#db570f,image405,10,image225,22,NA,left,left,TRUE,410,NA,NA
1,1,P10,B,processing,#772d7b,#FFFFFF,image415,20,image405,10,NA,right,right,TRUE,1056,NA,NA
1,1,P10,B,processing,#FFFFFF,#0f6fbd,image405,10,image274,3.9,NA,left,left,TRUE,443,NA,NA
