participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
13,1,P1,C,processing,#FFFFFF,#708514,image405,10,image335,6.3,NA,left,right,FALSE,2679.699999988079,NA,NA
13,1,P1,C,processing,#FFFFFF,#4d4483,image405,10,image413,153,NA,right,right,TRUE,1157.300000011921,NA,NA
13,1,P1,C,processing,#FFFFFF,#923554,image405,10,image13,15,NA,right,right,TRUE,2009.5,NA,NA
13,1,P1,C,processing,#316857,#FFFFFF,image173,999,image405,10,NA,left,left,TRUE,1089.9000000059605,NA,NA
13,1,P2,C,processing,#FFFFFF,#488731,image405,10,image303,20,NA,right,right,TRUE,1322.699999988079,NA,NA
13,1,P2,C,processing,#82351c,#FFFFFF,image105,7.1,image405,10,NA,right,NULL,FALSE,NA,NA,NA
13,1,P2,C,processing,#7e4a96,#FFFFFF,image98,15,image405,10,NA,left,left,TRUE,1210.300000011921,NA,NA
13,1,P2,C,processing,#569d9f,#FFFFFF,image304,18,image405,10,NA,left,left,TRUE,1752.5999999940395,NA,NA
13,1,P3,C,processing,#33519e,#FFFFFF,image54,7,image405,10,NA,right,left,FALSE,906.3000000119209,NA,NA
13,1,P3,C,processing,#FFFFFF,#818240,image405,10,image161,8.7,NA,left,left,TRUE,1393.3999999761581,NA,NA
13,1,P3,C,processing,#FFFFFF,#9c2b71,image405,10,image45,13,NA,right,right,TRUE,970,NA,NA
13,1,P3,C,processing,#FFFFFF,#159d4e,image405,10,image143,72,NA,right,right,TRUE,1211.5999999940395,NA,NA
13,1,P4,C,processing,#FFFFFF,#71592d,image405,10,image229,25,NA,right,right,TRUE,1039.5,NA,NA
13,1,P4,C,processing,#FFFFFF,#7b2878,image405,10,image355,443.2,NA,right,right,TRUE,1028.199999988079,NA,NA
13,1,P4,C,processing,#30c322,#FFFFFF,image363,11.3,image405,10,NA,left,left,TRUE,1035.2000000178814,NA,NA
13,1,P4,C,processing,#215ba1,#FFFFFF,image379,15,image405,10,NA,left,left,TRUE,1354.4000000059605,NA,NA
13,1,P5,C,processing,#5db422,#FFFFFF,image247,999,image405,10,NA,left,left,TRUE,1260.0999999940395,NA,NA
13,1,P5,C,processing,#93100b,#FFFFFF,image205,999,image405,10,NA,left,left,TRUE,1143.300000011921,NA,NA
13,1,P5,C,processing,#FFFFFF,#379cbe,image405,10,image401,12,NA,right,right,TRUE,1707.800000011921,NA,NA
13,1,P5,C,processing,#5c2a8d,#FFFFFF,image5,27.1,image405,10,NA,left,left,TRUE,1681.699999988079,NA,NA
13,1,P6,C,processing,#337156,#FFFFFF,image212,8,image405,10,NA,right,left,FALSE,815.7000000178814,NA,NA
13,1,P6,C,processing,#FFFFFF,#877840,image405,10,image118,13.6,NA,right,left,FALSE,1441.5,NA,NA
13,1,P6,C,processing,#bf1d58,#FFFFFF,image236,11,image405,10,NA,left,right,FALSE,1491.4000000059605,NA,NA
13,1,P6,C,processing,#FFFFFF,#1f34d1,image405,10,image396,34,NA,right,right,TRUE,1008.5999999940395,NA,NA
13,1,P7,C,processing,#FFFFFF,#12c41e,image405,10,image343,16,NA,right,right,TRUE,1046.8999999761581,NA,NA
13,1,P7,C,processing,#FFFFFF,#16729c,image405,10,image226,70.2,NA,right,right,TRUE,1021.2000000178814,NA,NA
13,1,P7,C,processing,#FFFFFF,#c8621e,image405,10,image218,13.5,NA,right,right,TRUE,1327.300000011921,NA,NA
13,1,P7,C,processing,#b727be,#FFFFFF,image17,7,image405,10,NA,right,right,TRUE,1909.699999988079,NA,NA
13,1,P8,C,processing,#FFFFFF,#1e1cb0,image405,10,image375,8,NA,left,right,FALSE,1107.9000000059605,NA,NA
13,1,P8,C,processing,#FFFFFF,#702955,image405,10,image356,5.5,NA,left,left,TRUE,1515.800000011921,NA,NA
13,1,P8,C,processing,#31965d,#FFFFFF,image142,1,image405,10,NA,right,right,TRUE,1204,NA,NA
13,1,P8,C,processing,#9a9047,#FFFFFF,image49,20,image405,10,NA,left,left,TRUE,1298,NA,NA
13,1,P9,C,processing,#416f86,#FFFFFF,image223,170,image405,10,NA,left,left,TRUE,870.0999999940395,NA,NA
13,1,P9,C,processing,#448e33,#FFFFFF,image150,17.7,image405,10,NA,left,left,TRUE,1024.3999999761581,NA,NA
13,1,P9,C,processing,#c85c1e,#FFFFFF,image18,18,image405,10,NA,left,left,TRUE,1241.800000011921,NA,NA
13,1,P9,C,processing,#c113cd,#FFFFFF,image128,7.7,image405,10,NA,right,left,FALSE,1355.5,NA,NA
13,1,P10,C,processing,#FFFFFF,#543aa1,image405,10,image395,8.2,NA,left,left,TRUE,1307.2000000178814,NA,NA
13,1,P10,C,processing,#928911,#FFFFFF,image243,27.1,image405,10,NA,left,left,TRUE,1281.9000000059605,NA,NA
13,1,P10,C,processing,#FFFFFF,#3a8d68,image405,10,image240,19,NA,right,right,TRUE,1343.7000000178814,NA,NA
13,1,P10,C,processing,#c11a65,#FFFFFF,image27,6,image405,10,NA,right,right,TRUE,1157,NA,NA
13,1,P11,C,processing,#628726,#FFFFFF,image274,3.9,image405,10,NA,right,right,TRUE,1275.2000000178814,NA,NA
13,1,P11,C,processing,#FFFFFF,#421e8f,image405,10,image388,350,NA,right,right,TRUE,862.7999999821186,NA,NA
13,1,P11,C,processing,#FFFFFF,#943341,image405,10,image112,13,NA,right,right,TRUE,1407.2000000178814,NA,NA
13,1,P11,C,processing,#FFFFFF,#0a9471,image405,10,image198,6.8,NA,left,right,FALSE,1534.7000000178814,NA,NA
13,1,P12,C,processing,#1212a1,#FFFFFF,image297,7.9,image405,10,NA,right,right,TRUE,1291.5,NA,NA
13,1,P12,C,processing,#FFFFFF,#b81e66,image405,10,image378,13,NA,right,left,FALSE,1892.800000011921,NA,NA
13,1,P12,C,processing,#17a65c,#FFFFFF,image66,999,image405,10,NA,left,left,TRUE,1136.1000000238419,NA,NA
13,1,P12,C,processing,#FFFFFF,#97ac20,image405,10,image298,12.4,NA,right,right,TRUE,1235.699999988079,NA,NA
13,1,P13,C,processing,#ba703b,#FFFFFF,image321,40,image405,10,NA,left,left,TRUE,828.8000000119209,NA,NA
13,1,P13,C,processing,#FFFFFF,#0d4f9b,image405,10,image410,7,NA,left,right,FALSE,836.5999999940395,NA,NA
13,1,P13,C,processing,#FFFFFF,#2cb922,image405,10,image2,6.3,NA,left,right,FALSE,1642.0999999940395,NA,NA
