participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
27,1,P1,C,processing,#4b9e1f,#FFFFFF,image312,20.5,image405,10,NA,left,NULL,FALSE,NA,NA,NA
27,1,P1,C,processing,#FFFFFF,#37bac3,image405,10,image412,10.5,NA,left,right,FALSE,2194.89999999851,NA,NA
27,1,P1,C,processing,#a03613,#FFFFFF,image38,6.5,image405,10,NA,left,right,FALSE,2483.60000000149,NA,NA
27,1,P1,C,processing,#FFFFFF,#9920d9,image405,10,image230,999,NA,right,right,TRUE,2468.300000000745,NA,NA
27,1,P2,C,processing,#549e4c,#FFFFFF,image100,9,image405,10,NA,left,left,TRUE,1770.3999999985099,NA,NA
27,1,P2,C,processing,#FFFFFF,#a22f98,image405,10,image113,210,NA,right,right,TRUE,1974.0999999977648,NA,NA
27,1,P2,C,processing,#FFFFFF,#0b6da2,image405,10,image427,40,NA,right,right,TRUE,1723.300000000745,NA,NA
27,1,P2,C,processing,#FFFFFF,#bd5814,image405,10,image158,150,NA,right,right,TRUE,1480,NA,NA
27,1,P3,C,processing,#FFFFFF,#6810a8,image405,10,image145,10,NA,right,right,TRUE,1523.8999999985099,NA,NA
27,1,P3,C,processing,#FFFFFF,#63c436,image405,10,image301,300,NA,right,right,TRUE,1832.199999999255,NA,NA
27,1,P3,C,processing,#c13a25,#FFFFFF,image211,21.3,image405,10,NA,left,left,TRUE,1637.7999999970198,NA,NA
27,1,P3,C,processing,#4d8c8f,#FFFFFF,image148,30,image405,10,NA,left,left,TRUE,992.1999999992549,NA,NA
27,1,P4,C,processing,#955091,#FFFFFF,image265,9.6,image405,10,NA,left,left,TRUE,1859.5999999977648,NA,NA
27,1,P4,C,processing,#34743f,#FFFFFF,image218,13.5,image405,10,NA,right,left,FALSE,1541.5,NA,NA
27,1,P4,C,processing,#FFFFFF,#b06b21,image405,10,image382,23.2,NA,right,right,TRUE,1501.0999999977648,NA,NA
27,1,P4,C,processing,#FFFFFF,#29508e,image405,10,image379,15,NA,left,right,FALSE,1825.1000000014901,NA,NA
27,1,P5,C,processing,#c34522,#FFFFFF,image93,1.5,image405,10,NA,right,left,FALSE,1717.300000000745,NA,NA
27,1,P5,C,processing,#4fce2c,#FFFFFF,image226,70.2,image405,10,NA,left,left,TRUE,1654.199999999255,NA,NA
27,1,P5,C,processing,#1a5c7f,#FFFFFF,image54,7,image405,10,NA,left,left,TRUE,1513.8999999985099,NA,NA
27,1,P5,C,processing,#7b2999,#FFFFFF,image326,1.9,image405,10,NA,right,right,TRUE,2186.10000000149,NA,NA
27,1,P6,C,processing,#0e838b,#FFFFFF,image317,3,image405,10,NA,right,left,FALSE,1464.5,NA,NA
27,1,P6,C,processing,#5d3088,#FFFFFF,image349,5.8,image405,10,NA,left,left,TRUE,1425.300000000745,NA,NA
27,1,P6,C,processing,#58753e,#FFFFFF,image62,7.5,image405,10,NA,left,left,TRUE,1992.0999999977648,NA,NA
27,1,P6,C,processing,#aa1322,#FFFFFF,image342,100,image405,10,NA,left,left,TRUE,1529.3999999985099,NA,NA
27,1,P7,C,processing,#c030a1,#FFFFFF,image167,17.4,image405,10,NA,right,left,FALSE,1287.5,NA,NA
27,1,P7,C,processing,#caa70c,#FFFFFF,image394,10,image405,10,NA,right,left,FALSE,1459.7999999970198,NA,NA
27,1,P7,C,processing,#465391,#FFFFFF,image297,7.9,image405,10,NA,left,left,TRUE,1289.0999999977648,NA,NA
27,1,P7,C,processing,#1e8a44,#FFFFFF,image375,8,image405,10,NA,left,left,TRUE,1354.699999999255,NA,NA
27,1,P8,C,processing,#82a654,#FFFFFF,image89,35,image405,10,NA,left,left,TRUE,1347.8999999985099,NA,NA
27,1,P8,C,processing,#FFFFFF,#34a8a4,image405,10,image101,180,NA,right,right,TRUE,1433.8999999985099,NA,NA
27,1,P8,C,processing,#3818a0,#FFFFFF,image22,9.1,image405,10,NA,left,left,TRUE,1096.199999999255,NA,NA
27,1,P8,C,processing,#FFFFFF,#c33739,image405,10,image419,150,NA,right,right,TRUE,1124.5,NA,NA
27,1,P9,C,processing,#FFFFFF,#c2e10e,image405,10,image50,8,NA,right,right,TRUE,1050.2999999970198,NA,NA
27,1,P9,C,processing,#26c087,#FFFFFF,image236,11,image405,10,NA,right,left,FALSE,1765,NA,NA
27,1,P9,C,processing,#130c8d,#FFFFFF,image123,4.8,image405,10,NA,right,left,FALSE,1881.4000000022352,NA,NA
27,1,P9,C,processing,#FFFFFF,#b5406d,image405,10,image373,17.5,NA,left,right,FALSE,1645.8999999985099,NA,NA
27,1,P10,C,processing,#9ba130,#FFFFFF,image112,13,image405,10,NA,right,left,FALSE,1245.699999999255,NA,NA
27,1,P10,C,processing,#FFFFFF,#a92376,image405,10,image173,999,NA,right,right,TRUE,1545.1000000014901,NA,NA
27,1,P10,C,processing,#FFFFFF,#312c9b,image405,10,image293,60.2,NA,right,right,TRUE,1402.4000000022352,NA,NA
27,1,P10,C,processing,#13ae4a,#FFFFFF,image174,999,image405,10,NA,left,left,TRUE,1477.8999999985099,NA,NA
27,1,P11,C,processing,#53a281,#FFFFFF,image136,33,image405,10,NA,left,left,TRUE,1457.1000000014901,NA,NA
27,1,P11,C,processing,#b52c70,#FFFFFF,image389,4.8,image405,10,NA,right,right,TRUE,2132.900000002235,NA,NA
27,1,P11,C,processing,#0f1899,#FFFFFF,image344,4,image405,10,NA,right,left,FALSE,1451.800000000745,NA,NA
27,1,P11,C,processing,#FFFFFF,#a4bc1a,image405,10,image58,12,NA,left,left,TRUE,1618,NA,NA
27,1,P12,C,processing,#FFFFFF,#257456,image405,10,image138,2,NA,left,right,FALSE,1444.3999999985099,NA,NA
27,1,P12,C,processing,#818e3e,#FFFFFF,image193,85,image405,10,NA,left,left,TRUE,983,NA,NA
27,1,P12,C,processing,#FFFFFF,#943356,image405,10,image313,10,NA,right,right,TRUE,1203.9000000022352,NA,NA
27,1,P12,C,processing,#FFFFFF,#3310e5,image405,10,image115,9.4,NA,right,right,TRUE,1495.9000000022352,NA,NA
27,1,P13,C,processing,#b52c63,#FFFFFF,image42,100,image405,10,NA,left,left,TRUE,1368,NA,NA
27,1,P13,C,processing,#FFFFFF,#318160,image405,10,image308,0.8,NA,left,right,FALSE,1365.300000000745,NA,NA
27,1,P13,C,processing,#FFFFFF,#180fd2,image405,10,image290,8.5,NA,right,right,TRUE,1359.4000000022352,NA,NA
27,1,P13,C,processing,#FFFFFF,#9aa550,image405,10,image189,400,NA,right,right,TRUE,1953.300000000745,NA,NA
27,1,P14,C,processing,#FFFFFF,#2d8712,image405,10,image325,12.6,NA,left,right,FALSE,1213.5999999977648,NA,NA
27,1,P14,C,processing,#27748b,#FFFFFF,image91,230,image405,10,NA,left,left,TRUE,1227.3999999985099,NA,NA
27,1,P14,C,processing,#FFFFFF,#a44323,image405,10,image207,24,NA,right,right,TRUE,1167.800000000745,NA,NA
