participant,age,sex,aid,attention,question1,comments,customStyles,description
1,32,Male,"No, I did not use any aid","No, I was able to concentrate",6,"I don't know if you did it on purpose but some of the objects were a bit hard to recognize. I remember one in particular, it was square-ish and at least one time it came up yellow/gold, was it supposed to be a microchip? Because my brain kept seeing it as a skateboard. Also I had some problems with all the different kinds of fruits, but that's probably a personal problem because I pretty much only eat apples and bananas. Last thing, I believe the experiment said ""bigger in real life"" but then an unicorn came up, so I don't know if that was a test because unicorns aren't real or if I was just supposed to see them as horse-sized. ",NA,NA
2,26,Female,"No, I did not use any aid","No, I was able to concentrate",6,"No, I don't.",NA,NA
4,24,Male,"No, I did not use any aid","No, I was able to concentrate",7,NA,NA,NA
3,34,Female,"No, I did not use any aid","No, I was able to concentrate",3,My memory was challenged in the experiment.,NA,NA
8,31,Female,"No, I did not use any aid","No, I was able to concentrate",3,No,NA,NA
10,28,Male,"No, I did not use any aid","No, I was able to concentrate",5,NA,NA,NA
9,30,Female,"No, I did not use any aid","No, I was able to concentrate",6,no,NA,NA
6,26,Female,"No, I did not use any aid","No, I was able to concentrate",6,none,NA,NA
5,25,Female,"No, I did not use any aid","No, I was able to concentrate",7,NA,NA,NA
7,22,Male,"No, I did not use any aid","No, I was able to concentrate",5,An interesting experiment ,NA,NA
