participant,age,sex,question1,aid,attention,comments,customStyles,description
13,28,Female,7,"No, I did not use any aid","No, I was able to concentrate",I find memorzing tasks are pretty difficult,NA,NA
11,24,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
16,30,Male,7,"No, I did not use any aid","No, I was able to concentrate",thanks for the survey ,NA,NA
1,34,Male,7,"No, I did not use any aid","No, I was able to concentrate",It was hard to tell what some of the objects actually were.,NA,NA
7,28,Female,6,"No, I did not use any aid","No, I was able to concentrate","no suggestions, only that my brain now hurts, and I realise my memory is worse than a goldfish's one. ",NA,NA
5,27,Male,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
6,29,Female,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
14,25,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
15,23,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
3,28,Female,8,"No, I did not use any aid","No, I was able to concentrate","An interesting experiment to test memory, would definetly do it again.",NA,NA
10,31,Male,6,"Yes, I did","No, I was able to concentrate",none,NA,NA
2,31,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
9,35,Female,6,"No, I did not use any aid","Yes, I was distracted by something",experiment was fun but challenging. something i would do in the future,NA,NA
12,27,Male,5,"No, I did not use any aid","No, I was able to concentrate","all good, thank you!",NA,NA
8,21,Other,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
4,27,Male,7,"No, I did not use any aid","No, I was able to concentrate",it is interesting and should be turned into a game,NA,NA
