participant,age,sex,question1,aid,attention,comments,customStyles,description
27,25,Female,3,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
29,25,Female,4,"No, I did not use any aid","No, I was able to concentrate",thank you i enjoyed this study ,NA,NA
4,32,Female,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
50,23,Male,6,"No, I did not use any aid","No, I was able to concentrate",I feel like the sizes of a lot of the objects are up for interpretation due to how stylised they are,NA,NA
48,30,Male,7,"Yes, I did","No, I was able to concentrate",NA,NA,NA
36,23,Male,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
38,29,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
17,33,Male,4,"Yes, I did","No, I was able to concentrate",none,NA,NA
28,29,Male,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
35,23,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
49,28,Female,6,"No, I did not use any aid","No, I was able to concentrate","Omg this was hard! I thought I was doing well and then I ended up failing trying to really concentrate. In the end, I just tried to make patterns out of the combos and that was better. ",NA,NA
21,27,Male,7,"No, I did not use any aid","No, I was able to concentrate",everything went smooth!,NA,NA
41,23,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
34,27,Female,8,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
1,25,Male,8,"No, I did not use any aid","No, I was able to concentrate","im not sure if the colours were meant to be confusing like different shade greens/blues threw me off and on the speed test when you click+drag at the same time on an image it attempts to drag the image and doesn't register as a click, also some of the icons i couldn't understand what they are first time i saw them. Thank you and good luck with your study!",NA,NA
9,28,Female,6,"No, I did not use any aid","No, I was able to concentrate",It was quite challenging but very fun. Thank you.,NA,NA
5,25,Female,2,"No, I did not use any aid","No, I was able to concentrate","No, but the experiment was interesting. Goodluck with your research.",NA,NA
26,34,Male,3,"No, I did not use any aid","No, I was able to concentrate","Wow this was hard. While size judging was easy, remembering colours is absolutely not my forte. I have very bad short-term memory. Anyways, good luck with your research and have a great day!",NA,NA
15,34,Male,6,"No, I did not use any aid","No, I was able to concentrate","Didn't do as well as I would like, but it was a learning experience. Thank you for the opportunity to participate. I trust you'll continue having an excellent week.",NA,NA
47,22,Male,2,"No, I did not use any aid","No, I was able to concentrate",I like how you mentioned that it would take around 51 minutes and it did ,NA,NA
7,24,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
18,29,Female,6,"No, I did not use any aid","No, I was able to concentrate",none,NA,NA
22,35,Male,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
2,32,Female,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
23,28,Female,6,"No, I did not use any aid","No, I was able to concentrate",everything was fine,NA,NA
40,26,Female,7,"No, I did not use any aid","No, I was able to concentrate",No I don't. This was an interesting experiment. I enjoyed it.,NA,NA
12,26,Male,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
30,28,Male,6,"No, I did not use any aid","No, I was able to concentrate",No I don't think so.,NA,NA
31,33,Male,2,"No, I did not use any aid","No, I was able to concentrate",THE EXPERIEMENT WAS VERY CHALLENGING BUT  ENJOYABLE,NA,NA
32,35,Female,1,"No, I did not use any aid","No, I was able to concentrate",n/a,NA,NA
37,31,Female,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
14,25,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
6,30,Male,8,"No, I did not use any aid","No, I was able to concentrate",Nothing to add. Thanks for getting the chance to participate and best of luck on your research!,NA,NA
25,25,Male,7,"No, I did not use any aid","No, I was able to concentrate",The experiment was awesome and I enjoyed it,NA,NA
11,29,Male,4,"No, I did not use any aid","No, I was able to concentrate",N/A,NA,NA
46,30,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
24,31,Female,5,"No, I did not use any aid","No, I was able to concentrate",very interesting study,NA,NA
16,32,Male,6,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
33,23,Female,7,"No, I did not use any aid","No, I was able to concentrate",Interesting but very challenging task.,NA,NA
44,32,Female,7,"No, I did not use any aid","No, I was able to concentrate",None,NA,NA
20,30,Male,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
43,31,Female,5,"No, I did not use any aid","No, I was able to concentrate",no comment,NA,NA
45,34,Male,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
8,31,Female,6,"No, I did not use any aid","No, I was able to concentrate",very interesting to do! ,NA,NA
39,34,Female,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
3,25,Male,7,"No, I did not use any aid","No, I was able to concentrate",Thank u ,NA,NA
10,28,Female,6,"No, I did not use any aid","No, I was able to concentrate",The task was quiet challenging but it was fun,NA,NA
13,33,Male,7,"No, I did not use any aid","No, I was able to concentrate","As a consultant specialized in design, I find the experiment very well designed, but the icon pack used could be significantly improved with some more intuitive vectors. In the first part, until you get used to defining them in your mind, it can be difficult to distinguish the icon from the actual object it represents. That’s all, just as a suggestion. Thank you very much and have a great day.",NA,NA
19,31,Female,8,"No, I did not use any aid","No, I was able to concentrate",NO COMMENT THANK YOU.,NA,NA
42,31,Female,2,"No, I did not use any aid","No, I was able to concentrate",Nil,NA,NA
