participant,age,sex,question1,aid,attention,comments,customStyles,description
59,26,Female,7,"No, I did not use any aid","No, I was able to concentrate",If the colors would be a bit darker,NA,NA
15,23,Male,3,"No, I did not use any aid","No, I was able to concentrate",I found it hard to focus so hard for that length of time ,NA,NA
19,23,Female,5,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
23,31,Female,3,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
17,35,Male,3,"No, I did not use any aid","No, I was able to concentrate","No further comments, it was a fun study and easy to navigate. ",NA,NA
16,34,Female,4,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
10,26,Female,4,"No, I did not use any aid","No, I was able to concentrate",I really enjoyed this experiment!,NA,NA
11,29,Female,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
26,24,Female,6,"No, I did not use any aid","No, I was able to concentrate",This was a nice one. It got me sweating too :),NA,NA
2,31,Male,8,"No, I did not use any aid","No, I was able to concentrate",N/A,NA,NA
14,27,Female,7,"No, I did not use any aid","No, I was able to concentrate",I felt kind of stupid!,NA,NA
78,23,Female,6,"No, I did not use any aid","No, I was able to concentrate",NO,NA,NA
66,35,Female,3,"No, I did not use any aid","No, I was able to concentrate",No comments.,NA,NA
51,25,Female,6,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
100,27,Female,6,"No, I did not use any aid","Yes, I was distracted by something",NA,NA,NA
28,25,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
13,35,Male,5,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
63,22,Female,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
50,32,Female,9,"No, I did not use any aid","No, I was able to concentrate","NO, HOWEVER THE EXPERIMENT WAS DIFFICULT, THATS ALL",NA,NA
71,20,Female,5,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
43,25,Male,7,"No, I did not use any aid","No, I was able to concentrate",N/A,NA,NA
40,23,Male,3,"No, I did not use any aid","No, I was able to concentrate",I REALLY ENJOYED THE STUDY. ,NA,NA
39,24,Male,3,"No, I did not use any aid","No, I was able to concentrate",The experiment was nice. Thank you,NA,NA
48,25,Male,7,"No, I did not use any aid","No, I was able to concentrate","At one moment, when i was reading the instructions, i wasn't moving my mouse for 1 minute while reading. Then the screen saver mode appeared and when i moved my mouse again, the message of ""window tabing"" appeared and i was afraid about not geting compensated. Hope this wasn't a problem.",NA,NA
72,25,Male,4,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
21,25,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
42,21,Male,7,"No, I did not use any aid","No, I was able to concentrate",The task required a lot of attention and was quite difficult.,NA,NA
85,21,Female,2,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
92,27,Female,8,"No, I did not use any aid","No, I was able to concentrate","I don't have comments, good luck on your research!!",NA,NA
69,27,Male,7,"No, I did not use any aid","No, I was able to concentrate",no comment thank you ,NA,NA
36,35,Female,3,"No, I did not use any aid","No, I was able to concentrate",Everything was perfect. Thank you.,NA,NA
86,30,Male,1,"No, I did not use any aid","No, I was able to concentrate",Good and easy to complete,NA,NA
53,29,Female,8,"No, I did not use any aid","No, I was able to concentrate",Thank you for an interesting study. My only suggestion would be to indicate that this study should only be done od desktop as I have large screen on my phone yet I was unable to run the experiment on it.,NA,NA
29,29,Female,1,"No, I did not use any aid","No, I was able to concentrate",thank you kindly add adjustments this was to lengthy,NA,NA
47,33,Male,7,"No, I did not use any aid","No, I was able to concentrate","The experiment was great, I wish there was an opportunity to unselect when , making the final decision to select an object that matches the colour on the left",NA,NA
79,26,Female,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
44,25,Male,6,"No, I did not use any aid","No, I was able to concentrate",NONE,NA,NA
82,25,Female,6,"No, I did not use any aid","No, I was able to concentrate",no,NA,NA
58,21,Male,5,"No, I did not use any aid","No, I was able to concentrate",N/A,NA,NA
32,33,Male,6,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
12,27,Female,3,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
37,32,Female,9,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
87,33,Female,7,"No, I did not use any aid","No, I was able to concentrate",None,NA,NA
73,29,Female,2,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
77,29,Female,6,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
34,32,Male,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
18,28,Female,6,"No, I did not use any aid","No, I was able to concentrate","The experiment was fair, and little bit enough challenging. I like it, I enjoyed it. I ended up speaking alone referring to the objects in the experiment as if I am speaking to people. It challenges the memory to be fast and grabbing.",NA,NA
83,28,Female,8,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
61,24,Male,3,"No, I did not use any aid","No, I was able to concentrate",Was very fun and engaging maybe a break in the middle but understandable if this affects experiment results.,NA,NA
68,29,Male,7,"No, I did not use any aid","No, I was able to concentrate",NA,NA,NA
93,26,Female,8,"No, I did not use any aid","No, I was able to concentrate",No,NA,NA
